"Gene.name"	"SRR6068402"	"SRR6068403"	"SRR6068404"	"SRR6068405"	"SRR6068406"	"SRR6068407"	"SRR6068408"	"SRR6068409"
"0610009B22Rik"	222.00008	251.99955	63.99998	46	277	251	328	381.00019
"0610010F05Rik"	221.85748	229.39459	196.11997	163.95118	304.64989	241.0494	772.0027	882.712
"0610010K14Rik"	137.71937685	136.75952	62.031290343087	25.78322	149.36579	101.58468	249.63178	272.20525
"0610012G03Rik"	1124.85	1033.14	307.727	123.328	909.602	828.352	421.028	521.985
"0610030E20Rik"	120.0906	125.2014	82.2096	106.8362	146.7546	198.16	203.06	222.466
"0610040J01Rik"	42.99996	61.01257	25.00003	21.48484	48	45.99996	43.6567	42.99998
"1110002E22Rik"	1854.68	1490.43	4227.75	2669.38	1305.95	1380.53	1149.15	1185.94
"1110004F10Rik"	505.99961	556.44069	562.7214	274.74188	570.14058	492.843302	1077.20867	1340.16879
"1110008P14Rik"	296.2161	240.94105	169.7038	99.8313	188.27804	223.5783	172.9393	246.0237
"1110012L19Rik"	144.918	156	52	42	169	123	346	373
"1110017D15Rik"	0	0	4	4.97715	0	1.83838	2.09311	8
"1110025L11Rik"	0	1	0	6	0	0	0	0
"1110032A03Rik"	93.0911	81.80885	55.42443	58.18478	138.3888	104.2542	155.0438	179.7776
"1110032F04Rik"	1	5	7	7	8	2	27	12
"1110038F14Rik"	94.20879	99.55614	66.97799	20.49763	93.48853	67.26137	118.58403	167.22325
"1110051M20Rik"	155.6834	164.2476	75.08974	41.66569	125.0511	186.224	134.7097	174.2625
"1110057P08Rik"	0	0	0	1	0	0	0	0
"1110059E24Rik"	133.412	100.7119	68.51965	77.26651	166.836	112.67694	625.06569	663.11399
"1110059G10Rik"	104.3553	117.1711	97.4687	49.9545	161.7003	117.3653	309.017	320.803
"1110065P20Rik"	119.60128	126.75714	76.2761	18.67845	109.45246	105.41332	178.80765	251.20378
"1190005I06Rik"	29.70544	29	4	8	23	23.8138	9.64434	0
"1190007I07Rik"	186.00041	157.69842	37.84303	23.41869	184.97223	154.44621	80.40457	80.32648
"1300017J02Rik"	4	3.38207	15.40883	9.00661	3	4	0	2
"1500009C09Rik"	0	1	0	11	1	3	5	3
"1500009L16Rik"	30.99998	36.00002	51.00003	30.00004	29	37.00001	64.83196	54.00005
"1500011B03Rik"	19.88972	16.6235	22.409921482	10	17.647619	15	58.163	71.70935
"1520401A03Rik"	0	2	2.20843	7.41308	0	0	0.41179	0
"1600002K03Rik"	51	36	14	17	44	33	157	190
"1600012H06Rik"	181.8171	185.07627	152.1828	132.3412	306.4546	215.6337	745.2152	960.159
"1600014C10Rik"	741.00076	795.00037	324.000268585	216.00002	670.0001	625.99955	538	716.99993
"1600014C23Rik"	0	3	1.5	2	0.5	1	1.5	1.5
"1700001C02Rik"	0	1	2	2	0	0	0	0
"1700001C19Rik"	4.00234	6.0000036	7.10734	7.94086	8.50368	4.46838	8.00034	10.37526
"1700001F09Rik"	0	0	0	2.5481	0	0	0	0
"1700001J03Rik"	3	0	0	1.84836	1	2	1.32349	2.45595
"1700001K19Rik"	13.000003	7	14.999971	13.99995	11	18	7	8
"1700001L19Rik"	0	0	0	5	0	3	0	0
"1700001O22Rik"	0	0	2	3.38052	1	1.63209	3.48178	0
"1700001P01Rik"	0	0	1	4	0	1	3	4
"1700003E16Rik"	12	19.00001	0	13.00001	8	14	1	8
"1700003F12Rik"	1	0	0	2	1	0	3	4.65638
"1700003H04Rik"	0	0	0	8.92981	0	0	0	0
"1700006A11Rik"	0	3	2	7.47935	0	0	0	0
"1700007K13Rik"	0	0	1	3	0	1	0	1
"1700008O03Rik"	0	3.03904	0	2	0	0	0	1
"1700008P02Rik"	0	1	0	2	0	0	0	0
"1700009N14Rik"	0	1	0	4	0	0	5	2
"1700010B08Rik"	4	4	6	8	4	5	2	1
"1700010I14Rik"	1.00725	1.00466	4	7.23519	1	2.000003	8.0000000154324	23
