	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MYO5C	2.6768702	-22.1232133	2.423337311	-9.129233971	6.90E-20	1.19E-15
BCL2L15	0.166024604	-29.89760586	3.786651243	-7.895526666	2.89E-15	1.09E-11
CTAG2	1.4408	-29.93461803	3.790412096	-7.897457393	2.85E-15	1.09E-11
DUSP27	0.528324881	-29.93677192	3.787233099	-7.90465523	2.69E-15	1.09E-11
LYNX1-SLURP2	0.220658586	30	3.804833827	7.884707024	3.15E-15	1.09E-11
TBX10	0.374724992	-28.97646703	3.777895587	-7.670002085	1.72E-14	4.94E-11
IL23A	0.96344031	-28.54637938	3.774480829	-7.56299493	3.94E-14	9.70E-11
CFAP299	0.31868079	-28.24310377	3.777945436	-7.475783927	7.67E-14	1.65E-10
FMR1NB	0.858348936	-28.11074978	3.790640046	-7.415832006	1.21E-13	2.32E-10
TCF24	0.232845145	-27.61594209	3.780692675	-7.304466261	2.78E-13	4.80E-10
ADH1A	0.316572788	-27.5561419	3.7858687	-7.278683992	3.37E-13	5.28E-10
PARVG	0.351577421	-27.26269649	3.788737908	-7.19571983	6.21E-13	8.93E-10
CGB5	0.978567176	-26.90610903	3.7893127	-7.100524859	1.24E-12	1.65E-09
CGB3	0.20548528	-26.90748218	3.795618773	-7.089089759	1.35E-12	1.66E-09
ADGRF5	32.73698347	22.49401736	3.288542084	6.840118444	7.91E-12	9.10E-09
ANXA8L1	1.534199948	-23.31204033	3.444534724	-6.767834322	1.31E-11	1.41E-08
TRIM55	2.106115068	-24.7819613	3.785648496	-6.546292221	5.90E-11	5.98E-08
VPS33B	1.852876619	18.10611052	2.829618435	6.398781651	1.57E-10	1.50E-07
NUP210	7.101203653	-24.05551366	3.784710631	-6.355971701	2.07E-10	1.88E-07
PASD1	2.391114894	-23.42192917	3.790278251	-6.17947486	6.43E-10	5.54E-07
KIF1A	43.14387265	23.27823479	3.78520631	6.149792873	7.76E-10	6.37E-07
CT47A11	1.532765958	-22.60338704	3.790391739	-5.963337986	2.47E-09	1.94E-06
VSIG10L2	0.573645867	-21.491442	3.768991367	-5.702173316	1.18E-08	8.87E-06
FAM71E2	0.449863272	-21.4457042	3.79002306	-5.658462721	1.53E-08	1.10E-05
LHB	0.153276596	-21.37723905	3.793214237	-5.635652961	1.74E-08	1.20E-05
NETO1	23.80005552	20.91264953	3.756546615	5.566987894	2.59E-08	1.72E-05
SERPINC1	0.265931357	-21.05174644	3.79105313	-5.553007493	2.81E-08	1.79E-05
GOLGA8Q	0.943666414	16.85412373	3.072010065	5.486350426	4.10E-08	2.53E-05
GOLGA6A	0.306553192	-20.66573485	3.791649793	-5.450327951	5.03E-08	2.80E-05
KLRG2	0.306553192	-20.66573485	3.791649793	-5.450327951	5.03E-08	2.80E-05
LARGE2	0.337208511	-20.70615858	3.791507072	-5.461194768	4.73E-08	2.80E-05
FOXG1	11.13945767	20.34649855	3.757183158	5.415359777	6.12E-08	3.20E-05
