"Gene.name"	"SRR6068402"	"SRR6068403"	"SRR6068404"	"SRR6068405"	"SRR6068406"	"SRR6068407"	"SRR6068408"	"SRR6068409"
"0610009B22Rik"	16.573768	20.063939	4.747696	2.91567	20.6182	20.3638	26.7948	31.222913
"0610010F05Rik"	5.504787	4.19447	3.811662	2.5509899	6.363779	5.573225	14.298647	17.129833
"0610010K14Rik"	11.8127953332	11.937437	5.5274100233736	1.744879	11.623674	9.33641	23.901871	25.115124
"0610012G03Rik"	42.8492	42.1179	11.7726	3.98245	34.5762	34.3428	17.6479	21.7864
"0610030E20Rik"	1.325072	1.482398	0.910926	0.999188	1.618444	2.38484	2.47826	2.68474
"0610040J01Rik"	1.601957	2.324252	1.309326	1.045191	1.3250728	1.918302	1.854479	2.260802
"1110002E22Rik"	9.49831	8.1954	21.7425	11.5871	6.68699	7.71506	6.51685	6.64014
"1110004F10Rik"	19.616562	24.236139	22.564537	9.721596	21.982721	20.2516058	46.986406	59.003242
"1110008P14Rik"	26.476082	23.316604	15.045895	7.039628	17.358727	21.447698	16.621315	24.51143
"1110012L19Rik"	7.58718	8.72826	2.73421	1.8641	8.82171	7.00066	19.8784	21.4167
"1110017D15Rik"	0	0	0.302714	0.309523	0	0.134672	0.117766	0.518448
"1110025L11Rik"	0	0.119969	0	0.574589	0	0	0	0
"1110032A03Rik"	6.222626	6.4500454	3.258837	2.518703	9.425866	6.66704	10.7511	11.60902
"1110032F04Rik"	0.0202701	0.108656	0.142493	0.120273	0.161988	0.0441852	0.604281	0.266199
"1110038F14Rik"	4.885753	5.662644	3.567098	0.922507	5.003522	3.941767	6.900657	9.910048
"1110051M20Rik"	4.147264	4.464527	1.839638	0.885216	3.534135	4.966979	3.936027	5.291752
"1110057P08Rik"	0	0	0	0.134886	0	0	0	0
"1110059E24Rik"	4.598024	3.794813	2.401108	2.576475	5.60798	4.564361	23.550029	24.945314
"1110059G10Rik"	4.413292	5.42098	4.021659	1.322065	7.38529	4.49719	14.73905	15.67752
"1110065P20Rik"	10.883135	10.395624	5.059394	1.412475	8.576572	8.052922	14.595461	20.638372
"1190005I06Rik"	2.273432	2.20839	0.392608	0.66312	1.63529	1.84542	0.826206	0
"1190007I07Rik"	18.426129	18.169615	4.468438	1.982862	18.709313	16.6758	8.218469	8.524127
"1300017J02Rik"	0.817728	0.4647498	0.56202	0.330265	0.0856021	0.7530028	0	0.2518274
"1500009C09Rik"	0	0.0383644	0	0.330116	0.0357691	0.117042	0.197271	0.11779
"1500009L16Rik"	2.25573	2.206568	3.58697	1.725631	1.36829	2.65371	4.055476	3.53716
"1500011B03Rik"	1.10234	0.741937	0.939055755	0.35366	1.408416	0.68089	4.79765	4.0872
"1520401A03Rik"	0	0.0420416	0.0304967	0.1090489	0	0	0.00626	0
"1600002K03Rik"	4.7999	3.60592	1.32322	1.35637	4.11801	3.36514	16.0862	19.6623
"1600012H06Rik"	4.46043	4.1343902	3.463166	2.33538	7.30669	5.64347	18.80941	25.05246
"1600014C10Rik"	15.128152	15.877977	10.79041906161	5.2448161	12.2130299	14.432621	15.366983	20.623864
"1600014C23Rik"	0	0.431547	0.204446	0.230214	0.0673277	0.146601	0.219968	0.224529
"1700001C02Rik"	0	0.1037	0.195789	0.1550646	0	0	0	0
